model,provider,config,run_mode,date,f1,f2,precision,recall,jaccard,laziness,cost_usd,duration_s,samples,run_id
gpt-4.1-nano,openai,B1,official,2026-04-14T15:29:42.422035,0.569080636877247,0.48776192991723893,0.7880512091038406,0.4453376205787781,0.30849956499729514,0.4204180064308682,3.167324399999998,129.873512,2998,zero_shot_gpt-4.1-nano_20260414_152732
gemini-3-flash,vertex_ai,B1,official,2026-04-14T15:21:47.292145,0.7272727272727273,0.7857469164001827,0.6470219435736677,0.830249396621078,0.4616844137222449,0.02011263073209976,16.546043999999977,6946.219497,2997,zero_shot_gemini-3-flash_20260414_132601
claude-opus-4.6,anthropic,B1,official,2026-04-14T12:39:20.785773,0.7773306505700872,0.8631218349717009,0.6668584579976985,0.9316720257234726,0.3775030824981739,0.01929260450160772,185.01973999999996,3146.185223,2999,zero_shot_claude-opus-4.6_20260414_114654
claude-sonnet-4.6,anthropic,B1,official,2026-04-14T12:37:12.492474,0.7170542635658914,0.8128295254833039,0.5993520518358532,0.8922829581993569,0.3583251844113649,0.02009646302250804,111.44421899999983,3017.937526,2999,zero_shot_claude-sonnet-4.6_20260414_114654
claude-haiku-4.5,anthropic,B1,official,2026-04-14T12:12:50.003595,0.68269534957292,0.7826780792107936,0.5628586332811685,0.867363344051447,0.3936453835550397,0.03858520900321544,36.69583399999996,1555.34422,2999,zero_shot_claude-haiku-4.5_20260414_114654
gpt-4.1,openai,B1,official,2026-04-14T10:52:08.544360,0.8114790286975718,0.8677998111425874,0.7322709163346613,0.9099009900990099,0.4304896302199352,0.05643564356435644,38.06831999999997,522.56353,2528,zero_shot_gpt-4.1_20260414_104325
gemini-3.1-pro,vertex_ai,B1,official,2026-04-14T10:03:58.442357,0.8066378066378067,0.8610597658656809,0.7297650130548303,0.9016129032258065,0.5242690985660065,0.03790322580645161,65.753302,3306.019026,2994,zero_shot_gemini-3.1-pro_20260414_090852
gemini-2.5-pro,vertex_ai,B1,official,2026-04-14T04:58:59.439911,0.7182701347539956,0.8276758630651453,0.588597842835131,0.9212218649517685,0.47827209164740375,0.01527331189710611,43.385427500000105,7721.933856,2999,zero_shot_gemini-2.5-pro_20260414_025017
claude-sonnet-4,anthropic,B1,official,2026-04-14T02:49:01.056884,0.764774044032445,0.8513931888544891,0.6538969616908851,0.9209302325581395,0.45121148781855186,0.020465116279069766,94.04399400000007,838.584185,2640,zero_shot_claude-sonnet-4_20260414_023502
gpt-4.1-mini,openai,B1,official,2026-04-14T02:40:29.314040,0.7951363301400147,0.8369531492398387,0.7340136054421769,0.867363344051447,0.4085508885781288,0.08440514469453377,13.173560000000004,326.856127,2999,zero_shot_gpt-4.1-mini_20260414_023502
gemini-2.5-flash,vertex_ai,B1,official,2026-04-14T01:34:49.226778,0.7364290385873119,0.829160530191458,0.6207276736493936,0.905144694533762,0.4837077882533166,0.02652733118971061,10.643104599999987,5167.888677,2999,test_zero_shot_gemini-2.5-flash_20260414_000841
gpt-4.1,openai,B4,official,2026-04-17T12:14:51.156646,0.7337862878319951,0.8522238163558106,0.5957873620862588,0.954983922829582,0.36758416545802763,0.01527331189710611,77.87766200000016,1631.660777,2999,cot_gpt-4.1_20260417_114739
gemini-2.5-pro,vertex_ai,B4,official,2026-04-15T14:45:37.468784,0.672428694900605,0.810079133694294,0.5240233497979344,0.9381028938906752,0.3355882228042231,0.0040192926045016075,61.771738749999955,16653.395268,2999,cot_gemini-2.5-pro_20260415_100804
gemini-3.1-pro,vertex_ai,B4,official,2026-04-15T12:22:13.946522,0.7908857037853732,0.842731829573935,0.7173333333333334,0.8812448812448812,0.46484635626046866,0.03357903357903358,72.46418200000001,8049.835499,2976,cot_gemini-3.1-pro_20260415_100804
claude-sonnet-4.6,anthropic,B4,official,2026-04-15T09:28:49.711621,0.7064735441915461,0.8397751229796206,0.5586722767648434,0.9606109324758842,0.35392937781078293,0.006430868167202572,129.5852099999999,1796.857892,2999,cot_claude-sonnet-4.6_20260415_085852
gpt-4.1-mini,openai,B4,official,2026-04-15T09:20:59.318720,0.727386150966937,0.8406633020908435,0.5939887926642894,0.9380530973451328,0.35387193078471174,0.015285599356395816,15.776328800000012,1326.475365,2994,cot_gpt-4.1-mini_20260415_085852
gpt-4.1-nano,openai,B4,official,2026-04-15T09:09:24.811491,0.6422976501305484,0.6122448979591837,0.6995260663507109,0.5937248592115849,0.4012530208509141,0.13435237329042637,3.6447551000000042,631.986574,2998,cot_gpt-4.1-nano_20260415_085852
claude-sonnet-4,anthropic,B4,official,2026-04-15T01:49:19.433444,0.7489553198328512,0.8512348385211166,0.6239957150508838,0.9364951768488746,0.42317909866195513,0.02491961414790997,125.9845230000002,1837.323667,2999,cot_claude-sonnet-4_20260415_011842
claude-opus-4.6,anthropic,B4,official,2026-04-15T01:49:17.269104,0.7480535658673311,0.8648998991790293,0.610574478901881,0.9654340836012861,0.3860028672975662,0.008038585209003215,213.30415000000008,1835.144646,2999,cot_claude-opus-4.6_20260415_011842
claude-haiku-4.5,anthropic,B4,official,2026-04-15T01:35:08.577704,0.7564903056194545,0.8494464944649447,0.6397998888271261,0.9252411575562701,0.3811657510291839,0.024115755627009645,43.107346000000106,986.479717,2999,cot_claude-haiku-4.5_20260415_011842
gemini-3-flash,vertex_ai,B4,official,2026-04-15T00:49:07.173164,0.5699604743083003,0.5795819935691318,0.5546153846153846,0.5861788617886179,0.25602411636044975,0.22439024390243903,19.086796499999938,0.005491,2985,cot_gemini-3-flash_20260414_235305
gemini-2.5-flash,vertex_ai,B4,official,2026-04-14T20:29:18.700160,0.7205929745407671,0.8178493050475494,0.6013986013986014,0.8987138263665595,0.39271146244344274,0.022508038585209004,14.71522719999999,4061.359919,2999,cot_gemini-2.5-flash_20260414_192137
gemini-3.1-pro,vertex_ai,M0,official,2026-04-16T20:44:06.898446,0.8402270884022709,0.8426874898324386,0.8361581920903954,0.8443357783211084,0.44086257729419037,0.13773431132844335,104.56708599999979,8191.80787,2978,classify_then_extract_gemini-3.1-pro_20260416_182735
